R0001	100001|.44 Magnum.1	Provides only only maneuver each combat, even if the bearer changes. [LSJ 19980302-2]
R1966	102100|Velvet Tongue.1	[ser] Putting a corruption counter on a minion does not give you an opportunity to steal it. [ANK 20200925] [ANK 20211105]
R1967	102103|Veneficti.1	The burn option can be used if all your infernal vampires are in torpor. [LSJ 20091203]
R1968	102104|Venenation.1	Modifiers that are played before block resolution like {Change of Target} can be played after Venenation. [ANK 20190524] [LSJ 20020126]
R1969	102104|Venenation.2	If the combat is canceled by Venenation, the action is still blocked, the blocking minion locks. {Mask of a Thousand Faces} cannot be used to continue it, but an effect can be used to continue the action as if unblocked (eg. {Crypt's Sons}, {Momentary Delay}). [ANK 20181003] [LSJ 20010803-2] [ANK 20220127]
R1970	102106|Vengeance of Samiel.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R1971	102106|Vengeance of Samiel.2	[val], [VAL] Does not prevent the opponent from dodging, the dodge just has no effect. [LSJ 20030902-2] [LSJ 20060808-1]
R1972	102113|Vessel.1	Can be used when the vampire is in torpor. [PIB 20150522]
R1973	102118|Victim of Habit.1	You can lock the card to remove less than three copies, but then the prey does not burn pool. [LSJ 20050408-2]
R1974	102118|Victim of Habit.2	Once the prey is ousted, the chosen card does not change, but the effect can be used on the new prey. [ANK 20230103]
R1975	102120|Vigilance.1	[REACTION] [1 CONVICTION] Can be used only when reactions can be used (during an action). It does not count as playing a reaction card. [LSJ 20070403] [LSJ 20070413]
R1976	102120|Vigilance.2	[ACTION MODIFIER] Cards and effects that can be played "after resolution" (and only them) can be played after its use. [ANK 20190425]
R1977	102121|Villein.1	Pay the cost (if any) at the same time you gain pool from it, you do not get ousted in between. [LSJ 20020620]
R1978	102121|Villein.2	You must be able to pay the cost to play it (eg. cannot play a third Villein with only 1 pool). [ANK 20210714]
R1979	102121|Villein.3	If the target has less blood at resolution than the amount announced, you take what you can. [LSJ 20100216] [ANK 20180512-2]
R1980	102124|Virtuosa.1	[MEL] Cards and effects that are played "as the action is announced" must be played before playing "regular" action modifier or reaction cards. [ANK 20190425]
R1981	102124|Virtuosa.2	[MEL] Replace the action card (if any) before playing it. [ANK 20181208]
R1982	102126|Visit from the Capuchin.1	Cannot be played if you have another one, even if it has only one counter left. [PIB 20121031]
R1983	102126|Visit from the Capuchin.2	If another effect offers an alternative for card replacement (eg. {Steely Tenacity}), you choose which to apply. [ANK 20200905]
R1984	102128|Vivienne Géroux.1	Can play cards requiring both [for] and [cel]. [ANK 20210719]
R1985	102128|Vivienne Géroux.2	Is not Anarch (eg. does not benefit from {Anarch Manifesto, An}). [RBK allies] [ANK 20230417]
R1986	102131|Voter Captivation.1	Is played after the referendum is resolved. If the effect of the referendum ousts the acting Methuselah, there is no time to play it to prevent the ousting. [RTR 19951110]
R1987	102131|Voter Captivation.2	Can be played before or after other cards that are played "after action resolution" or "if the action was successful". [LSJ 20070327]
R1988	102131|Voter Captivation.3	Can be used after a referendum that is automatically passing, but X is zero in this case. [PIB 20150105] [LSJ 19980107]
R1989	102133|Vox Senis.1	May still be "canceled as it is played" when used as an out-of-turn master. [LSJ 20031201]
R1990	102135|Vulture's Buffet.1	Is a hunt action. [ANK 20200421]
R1991	102135|Vulture's Buffet.2	Cannot be played if there is no minion or retainer in any Methuselah's ash heap. [ANK 20200420-3]
R1992	102135|Vulture's Buffet.3	Is undirected. [ANK 20180202]
R1993	102137|Wake with Evening's Freshness.1	The vampire need not attempt to block nor play further reaction cards: that is merely an option. [TOM 19951129]
R1994	102137|Wake with Evening's Freshness.2	Can be played after action resolution to use a reaction card (eg. {Fast Reaction} after combat). [LSJ 20091123]
R1995	102141|Walks-With-Might.1	Only affects the cost of masters played by his controller. [LSJ 20081124-1]
R1996	102143|Wanderer's Counsel.1	[ACTION MODIFIER] A hunt is not successful if no blood is gained, even if the hunt action is still successful. [LSJ 20050720-2]
R1997	102143|Wanderer's Counsel.2	[ACTION MODIFIER][REACTION] Cannot be used during a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R1998	102144|War Ghoul.1	If you have no other allies and no retainers in play when it is recruited, then you burn it. [RTR 19961113]
R1999	102144|War Ghoul.2	An ally or retainer must be burn when it comes into play, regardless of how it did come into play (eg. {Pressing Flesh}). [ANK 20170309-2]
R2000	102144|War Ghoul.3	Can use its ability to "lock and burn to burn a location" during an action that would steal it (eg. [PRE] {Entrancement}). The action will have no effect but is still successful if unblocked and must then be paid. [PIB 20121031]
R2001	102144|War Ghoul.4	Can use its ability to "lock and burn to burn a location" the turn it is recruited. [ANK 20180517]
R2002	102146|Warding the Beast.1	[val] Is not the default action, no blood is paid for the rescue. [ANK 20181017]
R2003	102149|Warsaw Station.1	Can be burned after the announcement of a diablerie action to bring the target Nosferatu out of torpor. The action will still be successful if unblocked, but will have no effect: no diablerie happen. [ANK 20220218] [ANK 20181107]
R2004	102149|Warsaw Station.2	Can be burned during an action to bring back a vampire that was put into torpor during that action, but the action ends and cannot be continued (eg. with {Ambulance}). [ANK 20220218] [LSJ 20090325-2]
R2005	102149|Warsaw Station.3	The unlock effect is applied after the action is resolved and the referendum (if any) concluded. If the acting vampire is not a Nosferatu anymore at that point, he does not unlock. [LSJ 20090216] [ANK 20180922]
R2006	102151|Wash.1	If used to cancel a Trifle, the target does not get an extra Master Phase Action from the canceled Trifle. [ANK 20170124] [LSJ 20090126] [RBK trifle]
R2007	102151|Wash.2	The additional Master Phase Action it provides does not count as a Trifle bonus, the target can get yet an additional Master Phase Action if they play a Trifle afterwards. [ANK 20170124] [LSJ 20090126]
R2008	102151|Wash.3	If used to cancel an out-of-turn master, that Methuselah still cannot play another out-of-turn master against the same master phase, even though the first was canceled and won't count against that master phase. [LSJ 20070309-2]
R2009	102152|Wasserschloss Anif, Austria.1	Can only receive blood from one Tremere on any given turn. [RTR 19960221]
R2010	102153|Waste Management Operation.1	If the library is empty and the hand not full, you draw immediately after using it. [ANK 20211201]
R2011	102160|Wave of Insanity.1	[DEM] Is directed at all Methuselah controlling an ally. [LSJ 20080809-1] [RTR 20081119]
R2012	102161|Wave of Lethargy.1	Card text was changed in 2007, previous rulings do not apply. [ANK 20200408-1]
R2013	102162|Waxen Poetica.1	Does not burn if combat ends before it resolves (eg. if the opponent uses a "strike: combat ends"). [LSJ 20001127-2] [LSJ 20010806-1] [LSJ 19981006]
R2014	102164|Weather Control.1	The damage is environmental. [RTR 19970630]
R2015	102164|Weather Control.2	The damage is applied even if the combat ends prematurely (eg. by {Mariel, Lady Thunder}, {Alpha Glint}). [LSJ 19971110] [ANK 20190725]
R2016	102164|Weather Control.3	Both minions have the opportunity to play prevention and non-prevention pre-range effects before mending the damage. If another pre-range damaging effect is played then, all damages are prevented and mended together. [ANK 20170930]
R2017	102165|Web of Knives Recruit.1	It is not an action to put a vampire in play (eg. {Blood Cult Awareness Network} does not give it -1 stealth). [LSJ 20060616-2]
R2018	102166|Week of Nightmares.1	Ravnos can target a Ravnos with no blood with the +1 stealth hunt action. [RTR 20010711]
R2019	102166|Week of Nightmares.2	Cannot choose to target a vampire when using another non-standard hunt action (eg. {Abactor}). [LSJ 20090606] [ANK 20190707]
R2020	102168|Weigh the Heart.1	[AUS][SER] Cards and effects that are played "as the action is announced" must be played before playing "regular" action modifier or reaction cards. [ANK 20190425]
R2021	102168|Weigh the Heart.2	[AUS][SER] If the action targets multiple Methuselah, you choose one minion, which must be controlled by one of the target Methuselah. [ANK 20180515]
R2022	102168|Weigh the Heart.3	[AUS][SER] Replace the action card (if any) before playing it. [ANK 20181208]
R2023	102169|Weighted Walking Stick.1	If the damage is reduced (eg. {Nephandus}) or not inflicted (eg. {Blood Fury}), the corresponding token is not burned (contrary to prevented damage). [LSJ 20100519]
R2024	102169|Weighted Walking Stick.2	Full damage is applied if there are any counter left, even just 1. [ANK 20201229-2]
R2025	102171|Well-Aimed Car.1	[POT] The press can only be used during the current round. [TOM 19960521]
R2026	102173|Wendell Delburton.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R2027	102175|Whispers from the Dead.1	The card to retrieve must be announced when declaring the action. [LSJ 20010627]
R2028	102179|White Phosphorus Grenade.1	Damage done to the bearer is environmental. [LSJ 19970801]
R2029	102179|White Phosphorus Grenade.2	Does not burn if combat ends before it resolves (eg. if the opponent uses a "strike: combat ends"). [LSJ 20001127-2] [LSJ 20010806-1] [LSJ 19981006]
R2030	102180|Wider View.1	Cards removed from the game are public. [LSJ 20080314]
R2031	102183|Will-o'-the-Wisp.1	[CHI] Cards and effects that are played "as the action is announced" must be played before playing "regular" action modifier or reaction cards. [ANK 20190425]
R2032	102183|Will-o'-the-Wisp.2	[CHI] Replace the action card (if any) before playing it. [ANK 20181208]
R2033	102186|Winged Second.1	The "Second" is not in combat, none of their or their rertainers combat-related abilities apply (eg. {Oliver Thrace}, {Dog Pack}, {White Lily}). [LSJ 20051126-2] [ANK 20221021]
R2034	102188|Withering.1	Does not apply to the current strike of the opponent. [LSJ 20020211]
R2035	102189|WMRH Talk Radio.1	Does not consider blocks made before the effect was used (if the action has been continued with eg. {Form of Mist}). [ANK 20230319]
R2036	102190|Wolf Claws.1	[pro] Must be played before strike resolution and damage prevention in order to affect the current strike. Can be played after both strikes have been chosen. [RTR 19960112]
R2037	102192|Wooden Stake.1	If placed on a minion that cannot have equipment, the Stake is burned. The "does not unlock as normal" effect still applies. [LSJ 19980831]
R2038	102192|Wooden Stake.2	The "does not unlock as normal" effect continues to apply if the Stake is burned or moved. [LSJ 19980831]
R2039	102194|Wormwood.1	Ceils the vampire's capacity, including effects that have changed it, to X. {Orun} adds to that X, or the vampire's capacity if it is lower, for cards played by other players. [LSJ 20051205]
R2040	102194|Wormwood.2	When a vampire is influenced, the excess blood drains off before entering contest (if any) and before playing "as played/as he enters play" effects. [LSJ 20100902]
R2041	102196|Writ of Acceptance.1	The effect is not optional. [RTR 19980707]
R2042	102196|Writ of Acceptance.2	Is a temporary effect that overrides the underlying sect. The most recent override takes precedence. It stays active if another effect changes the underlying sect, like using the default action to become Anarch. [LSJ 20100811] [ANK 20190619]
R2043	102196|Writ of Acceptance.3	If the target changes sect to a sect inappropriate for his title, he loses its benefit until his sect is appropriate. He immediately yields the title if it is contested or he receives a new one. [LSJ 20060904]
R2044	102198|XTC-Laced Blood.1	A hunt is not successful if no blood is gained, even if the hunt action is still successful. [LSJ 20050720-2]
R2045	102199|Yawp Court.1	Damage inflicted at the end of combat is environmental. [RTR 19970630]
R2046	102199|Yawp Court.2	If the acting minion is not ready after the combat, then the action ends and no referendum is conducted. [LSJ 20060902]
R2047	102199|Yawp Court.3	The action cost, if any, is paid before Yawp Court gets locked. [LSJ 20080201]
R2048	102199|Yawp Court.4	If the acting vampire gets out of torpor immediately (eg. {Warsaw Station}), the action ends and no referendum is conducted. [LSJ 20090325-1]
R2049	102199|Yawp Court.5	If {Rötschreck} is played against the acting vampire, the Sabbat vampire takes 2 damage (combat ends before torpor), the acting vampire goes to torpor and no referendum is conducted. [LSJ 20080821]
R2050	102199|Yawp Court.6	The effect is applied after cards that are played "at the end of the round (eg. {Disarm}) or "when combat would end". If a combat ends and a new combat would begin, the damage is applied between the two combats and the referendum is conducted after all the combats if the acting vampire is still ready. [ANK 20180910-1] [LSJ 20060903]
R2051	102200|Year of Fortune.1	The bonus disappears if the card is burned (either burned by a referendum or if the controller is ousted). [PIB 20121028]
R2052	102201|Yoruba Shrine.1	The acting player has the opportunity to play "as announced" effects first (eg. {Seduction}). [LSJ 20081105]
R2053	102202|Young Bloods.1	They may use their built-in action against a vampire with only 1 blood. If successful, that vampire burns his 1 blood. [LSJ 20070213]
R2054	102202|Young Bloods.2	If the target of their ability unlocks and the action is not blocked, it is successful but has no effect. [LSJ 20070411] [LSJ 20090514]
R2055	102202|Young Bloods.3	If they are burned by a strike, the blood gained from burning them is awarded after strike resolution (it cannot normally not be used to heal from their strike). [LSJ 20080212]
R2056	102204|Zapaderin.1	Can only be played by the controller of the acting minion. [LSJ 19990425]
R2057	102204|Zapaderin.2	Multiple copies can be played by different minions on the same action. [ANK 20200515]
R2058	102208|Zip Gun.1	Damage done to the bearer is environmental. [LSJ 19970801]
R2059	102208|Zip Gun.2	No damage is done to the bearer if he does not strike with the gun (eg. if it is destroyed with first strike). [LSJ 20100310]
R2060	102223|Form of the Bat.1	The maneuver, and equipment restriction, apply only in the combat resulting from a successful block. They do not carry over to follow-up combats (eg. [CEL] {Psyche!}). [LSJ 20010813] [LSJ 20010819-2]
R2061	102223|Form of the Bat.2	The maneuver, and equipment restriction, apply again if a second block happens on the same action (eg. after [PRO] {Form of Mist}). [LSJ 20010814-2]
R2062	102226|Haqim's Law: Retribution.1	Can only be used once per action (multiple Haqim's Law: Retribution can each be used once). [ANK 20221102-2]
R2063	102226|Haqim's Law: Retribution.2	If used by a Banu Haqim and another takes the action over with {Mask of a Thousand Faces}, they cannot use it again. [ANK 20221102-2]
R2064	102226|Haqim's Law: Retribution.3	Cannot be used during combat. [ANK 20231124]
R2065	102226|Haqim's Law: Retribution.4	Can only be used by an acting bleeding minion. [ANK 20220502]
R2066	102227|Hunger of Marduk.1	The provided strike can be chosen and used more than once during the round. [ANK 20220207]
R2067	102230|Organized Resistance.1	Cannot be used if the vampire cannot attempt to block the action (eg. {Daring the Dawn}). [LSJ 20010714-2]
R2068	102232|Platinum Protocol, The.1	[pro] The minion getting the corruption counter is chosen at action resolution (not declaration). [ANK 20240706] [LSJ 20080608]
R2069	102232|Platinum Protocol, The.2	[pro] Putting a corruption counter on a minion does not give you an opportunity to steal it. [ANK 20200925] [ANK 20211105]
R2070	102233|Revelation of the Serpent.1	[PRE][PRO] Cannot be used to unlock if the target is ousted by the bleed. [ANK 20220210]
R2071	102236|British Museum, London, The.1	Checks the card type in hand, reduction and unlock apply to equipments that are locations when in play. [ANK 20220824]
R2072	102236|British Museum, London, The.2	The reduction applies to all valid equipments, even without using the unlock or not equipping from hand. [ANK 20221026]
R2073	102238|Enhanced Coagulant.1	The card stays there if the strike is dodged [ANK 20220923]
R2074	102238|Enhanced Coagulant.2	Cannot be used against an ally. [ANK 20220818] [ANK 20221102]
R2075	102238|Enhanced Coagulant.3	Once used, it becomes a typeless card and cannot be used as a weapon anymore. [ANK 20220818]
R2076	102239|Michael Harris, the Incinerator.1	If used to set the range, no other effect can be used to reset the range. Skip the determine range step on that round, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R2077	102242|Mobile HQ, Operation Antigen.1	The card is locked if used to enter combat, even if that action fails. [ANK 20221102]
R2078	102244|Shard, London, The.1	The cost reduction applies to minion cards, they are also played by the Methuselah. [ANK 20221102]
R2079	102244|Shard, London, The.2	Can be locked to reduce the cost at any point before resolution, from when the action is announced to just before the cost is paid. [ANK 20230620]
R2080	102244|Shard, London, The.3	Can be used to allow to play cards which cost could not be paid otherwise. [ANK 20230621]
R2081	102244|Shard, London, The.4	Can allow allies to play cards that otherwise cost blood (eg. {Procurer}), if they do not otherwise require a vampire (eg. clan or discipline). [ANK 20230621]
R2082	102244|Shard, London, The.5	Can reduce the cost of an action card even if it is not played as an action (ie. a retainer played with {Pack Alpha}). [RTR 20070707] [ANK 20230824]
R2083	102247|Break the Bonds.1	[pre] There must be an uncontrolled vampire, and it is chosen upon declaration. [ANK 20240706]
R2084	102247|Break the Bonds.2	[obf] The prey need not control a minion, the target is chosen upon resolution. [ANK 20240706]
R2085	102254|Night Terrors.1	Effectively gives a -X stealth modifier to the action, where X is the amount of stealth reduced by Night Terrors at the time it was played. [RTR 20030519]"
R2086	102254|Night Terrors.2	Can be played by a minion who is not attempting to block the action. [ANK 20190628]
R2087	102254|Night Terrors.3	Can be played on a minion with no or negative stealth, in which case it has no effect. [LSJ 20021211]
R2088	102254|Night Terrors.4	If another Methuselah is the target, he must declare whether he attempts or declines to block before Night Terrors can be played. [ANK 20200607]
R2089	102254|Night Terrors.5	[OBF][PRE] The strike: combat ends can only be used in the combat resulting from a successful block. It does not carry over to follow-up combats (eg. [CEL] {Psyche!}). [LSJ 20010813] [LSJ 20010819-2]
R2090	102254|Night Terrors.6	[OBF][PRE] The strike: combat ends is provided again if a second block happens on the same action (eg. after [PRO] {Form of Mist}). [LSJ 20010814-2]
R2091	102256|One With the Land.1	[PRO] The strike restriction only applies in the combat resulting from a successful block. It does not carry over to follow-up combats (eg. [CEL] {Psyche!}). [LSJ 20010813] [LSJ 20010819-2]
R2092	102256|One With the Land.2	[PRO] The strike restriction applies again if a second block happens on the same action (eg. after [PRO] {Form of Mist}). [LSJ 20010814-2]
R2093	102263|Unleashing the Bestial Soul.1	An opponent can play a reaction to wake as the card is played, before its effects apply. [ANK 20231028]
R2094	200011|Adana de Sforza.1	Card with multiple types (eg. Combat/Action Modifier) are considered of the type they are played as, not both. [PIB 20150924-2]
R2095	200017|Aeron.1	The damage inflicted by his ability is environmental. [RTR 19970630] [LSJ 20070328]
R2096	200017|Aeron.2	His ability to get a press can only be used during the press step. [PIB 20150121]
R2097	200019|Agaitas, The Scholar of Antiquities.1	Additional draws are not subject to his ability (eg. {Infernal Pursuit}, {Aura Reading}, {Learjet}). [LSJ 20011202]
R2098	200019|Agaitas, The Scholar of Antiquities.2	If Agaitas is burned while cards owned by your prey are still face-up in front of you, you can still play and discard them as normal, but you cannot draw in your prey's library until you control Agaitas anew. [LSJ 20100304]
R2099	200019|Agaitas, The Scholar of Antiquities.3	Cards from his ability that go into an ash heap, hand, or library always go into their owner's ash heap, hand, or library (eg. using {Heart of Nizchetus}). [RTR 19970425] [LSJ 20060921]
R2100	200019|Agaitas, The Scholar of Antiquities.4	A weapon available from his ability can be chosen for a {Concealed Weapon}. [LSJ 20060913]
R2101	200019|Agaitas, The Scholar of Antiquities.5	His ability only applies when the card is played. Any delay in the replacement prevents it (eg. {The Meddling of Semsith}, {Bum's Rush}). [LSJ 20020718]
R2102	200033|Akram.1	If his ability is used to start a new combat, effects that end combat and then do something else after combat (include continuing the action as if unblocked) will be lost, except for unlock effects. [LSJ 19980109] [RTR 20020501]
R2103	200033|Akram.2	His ability cannot be used to start a new combat if there is already a pending combat queued. [RTR 20020501]
R2104	200044|Alejandro Aguirre.1	If a card transforms the damage he inflicts to aggravated (eg. {True Faith}), this includes the damage from his ability. [ANK 20210620]
R2105	200049|Alexandra.1	Can use her unlock ability at any point during the turn, including during a political action. [TOM 19960214]
R2106	200049|Alexandra.2	If she locks a Toreador who was attempting to block, then that block will fail. [TOM 19951007] [LSJ 19991025]
R2107	200063|Alvaro, The Scion of Angelica.1	He gains blood if he casts no vote, even if he has lost his title or is in torpor. [LSJ 20010526]
R2108	200068|Ambrogino Giovanni.1	Keeps his title and votes if he changes sects. [LSJ 20010714]
R2109	200070|Ambrosio Luis Monçada, Plenipotentiary.1	Actions from minions of the same controller targeting him are undirected, so they are not affected by his ability. [LSJ 20030214-2]
R2110	200072|Amelia, The Blood Red Tears.1	Her ability triggers after combat if she's still in play, even in torpor. If she is burned during combat, it does not trigger. [ANK 20200420-1]
R2111	200072|Amelia, The Blood Red Tears.2	If multiple combats occur in the same action, the opposing minion burns 1 blood or life each time the combat ends. [ANK 20200420-1]
R2112	200072|Amelia, The Blood Red Tears.3	In the case of {Free Fight}, the last opposing minion burns the blood. [ANK 20200420-1]
R2113	200074|Amisa.1	Keeps her title and votes if she changes sects. [LSJ 20010714]
R2114	200076|Anarch Convert.1	His "as he enters play" ability can be used before he enters contest if there is another one in play. This is not self-contesting. [LSJ 20080526] [RTR 20180303] [ANK 20211214]
R2115	200076|Anarch Convert.2	Can "convert" an already anarch vampire if he is not titled. [PIB 20121031]
R2116	200080|Andre LeRoux.1	His ability can be used only once per successful bleed, but can be used multiple times on different bleeds during the same turn. [LSJ 20081123]
R2117	200080|Andre LeRoux.2	It is used in the "would/about to be successful" window like {Spying Mission}. [LSJ 20081123]
R2118	200080|Andre LeRoux.3	Only modifiers and reactions that can be played "when the action/bleed would be successful" can be played after it. [LSJ 20090205]
R2119	200080|Andre LeRoux.4	He can use his ability on his own bleed to get (-1 +2) = +1 bleed. [LSJ 20081124-2]
R2120	200080|Andre LeRoux.5	His ability cannot be used after {Spying Mission}. If his ability reduces a bleed to zero, it is no longer successful and {Spying Mission} cannot be used afterwards. [PIB 20150612]
R2121	200086|Andrew Stuart.1	His ability needs to be applied before anyone has an opportunity to play another cancellation effect (eg. {Direct Intervention}). [LSJ 20100728] [LSJ 20090213]
R2122	200091|Angela Preston.1	When she is influenced out, her ability to unlock a vampire can be used during the ongoing influence phase. [RTR 20180303]
R2123	200092|Angelica, The Canonicus.1	Can only use her ability once per action if she needs intercept, but she can get more than she needs. [RBK wording-templates] [RBK who-may-attempt-to-block] [LSJ 20010111]
R2124	200092|Angelica, The Canonicus.2	The cards must all be burned at once. No further burning can be done once they're replaced. [LSJ 19981005]
R2125	200094|Angelo.1	A vampire with no circle designation is in his own unique circle of one. [LSJ 20020609] [ANK 20211113]
R2126	200094|Angelo.2	Angelo can be in the "unique circle of one" of any vampire, including another copy of himself. Two uncontrolled Angelo are in different circles, an active Angelo has to choose (eg. for {Unwholesome Bond}). [ANK 20211113]
R2127	200094|Angelo.3	He cannot attempt an action to employ a retainer, nor strike to steal a retainer. [LSJ 20050315] [LSJ 20010210]
R2128	200103|Annabelle Triabell.1	Her ability applies to all Toreadors, not just the ones in play at the time the action resolved. [LSJ 20030811]
R2129	200104|Annazir.1	Keeps his title and votes if he changes sects. [LSJ 20010714]
R2130	200104|Annazir.2	He cannot perform the action provided by his ability twice in the same turn. [ANK 20220615]
R2131	200104|Annazir.3	The action provided by his ability is directed against the Methuselah controlling the equipment or location, not the minion it's on. [LSJ 20090324]"
R2132	200106|Anneke.1	Her ability only affects the rule restricting who gets to block an action. She must still meet all other requirements to block. In particular, {Blood Bond}, {Day Operation}, {Seduction} and prior decision not to block are not circumvented. [RTR 20020501] [LSJ 20041203]
R2133	200116|Antonio d'Erlette.1	Cost reductions apply (eg. {Powerbase: Tshwane}), except if they require an action (eg. {Charisma}). [LSJ 20090920-2] [RTR 20070707]
R2134	200119|Anu Diptinatpa.1	Her ability cannot be used during combat. [ANK 20231124]
R2135	200119|Anu Diptinatpa.2	Her ability can only be used on an acting bleeding minion. [ANK 20220502]
R2136	200135|Arika.1	Arika's prey can use a location during her unlock phase before burning it. [ANK 20200629]
R2137	200135|Arika.2	Arika's prey cannot end her unlock phase if she controls a location that she hasn't burned a pool for, even if she gained control of that location during that unlock phase. [LSJ 19990405]
R2138	200136|Arishat.1	Her ability applies to Priscus votes and ballots. [LSJ 19971001]
R2139	200136|Arishat.2	Her ability to force a vampire to abstain can cancel the votes and ballots of the vampire. [LSJ 20100311]
R2140	200136|Arishat.3	Keeps her title and votes if she changes sects. [LSJ 20010714]
R2141	200138|Armin Brenner.1	His ability is applied after the referendum effects are applied, including any oust and pool gained from it. [LSJ 20090115-2]
R2142	200145|Asguresh.1	If his ability is used to cancel a strike, another strike is chosen. [LSJ 20100206]
R2143	200145|Asguresh.2	If a canceled card had a "Do Not Replace Until" clause on it (or alternate replacement like {Steely Tenacity}), that clause is canceled as well and the card is replaced normally. [LSJ 20011023] [LSJ 20080630]
R2144	200145|Asguresh.3	If his ability is used to cancel a limited effect (additional strike), then the limit is not triggered and another limited effect can be used. [LSJ 20100206] [LSJ 20030224]
R2145	200145|Asguresh.4	Can only cancel minion cards played from the hand in the normal fashion (eg. not weapons played via {Disguised Weapon}). [RTR 20001020]
R2146	200148|Astrid Thomas.1	Her ability triggers when votes are tallied. [RTR 20001020]
R2147	200148|Astrid Thomas.2	Tremere who have not yet voted can choose to abstain. [RTR 19941006]
R2148	200148|Astrid Thomas.3	If her votes are canceled, the other Tremere votes are unaffected by her ability. [RTR 19960530]
R2149	200149|Augustus Giovanni.1	Keeps his title and votes if he changes sects. [LSJ 20010714]
R2150	200155|Aziz, Dammar of Istanbul.1	Keeps his title and votes if he changes sects. [LSJ 20010714]
R2151	200157|Baba Yaga, the Iron Hag.1	Her ability applies when she recruits or employs a retainer or ally in a non-normal way (eg. {Pack Alpha}). [PIB 20150105-2]
R2152	200167|Baron, The.1	Keeps his title and votes if he changes sects. [LSJ 20010714]
R2153	200167|Baron, The.2	Cannot play cards requiring a Baron. [PIB 20151116]
R2154	200168|Baron Dieudonne.1	Cannot play cards requiring a Baron. [PIB 20151116]
R2155	200179|Beast, The Leatherface of Detroit.1	He cannot attempt an action to equip or employ, nor strike to steal an equipment or retainer. [LSJ 20050315] [LSJ 20010210]
R2156	200179|Beast, The Leatherface of Detroit.2	He can equip with an equipment that is a location when in play, but not by playing the card normally as it is an action card. (eg. Using {Vast Wealth} would work). [LSJ 20050315] [LSJ 20050413-1] [LSJ 20050413-2]
R2157	200191|Bernard, the Scourge.1	When using his ability, modifiers and reactions can be played during and after the referendum (eg. {Voter Captivation}, {Delaying Tactics}). [LSJ 20081202-2]
R2158	200199|Bindusara, Historian of the Kindred.1	He cannot perform his special action twice in the same turn, even to fetch different cards. [ANK 20200810]
R2159	200199|Bindusara, Historian of the Kindred.2	When using his special ability, requirements do not apply (eg. {Arcane Library} is put into play even if you have no ready Tremere). [ANK 20200810]
R2160	200201|Black Cat.1	The reduction applies for other effects that check the "cost" of equipment on her. [RTR 19941109]
R2161	200201|Black Cat.2	If she is equipped with something and that equipment is transferred to another minion, then it regains its normal pool value. Conversely, if a piece of equipment moves onto her, its effective pool cost is lowered by 1. [RTR 19941109]
R2162	200224|Brunhilde.1	[MERGED] Is Anarch Baron. If the base version was the one in play, it changes sect as it is merged. [ANK 20180524]
R2163	200229|Byzar.1	His ability will make a diablerie unsuccessful (blood and equipment stay on him). [LSJ 20100228]
R2164	200229|Byzar.2	When he burns from aggravated damage, additional damage is lost. [ANK 20210424]
R2165	200229|Byzar.3	If {Amaranth} burns him and he comes back in torpor, another {Amaranth} can be played. [ANK 20210424]
R2166	200229|Byzar.4	His ability does not apply if he's not controlled (ie. uncontrolled or yielded in a contest). [LSJ 20100423] [LSJ 20100127]
R2167	200229|Byzar.5	His ability is a replacement effect. It prevents any effect triggering after the vampire burns (eg. {Sacrificial Lamb}), but still allows burn conditions to be met (eg. {Judgment: Camarilla Segregation}). [LSJ 20091217] [LSJ 20091217-2]
R2168	200232|Cailean.1	When setting the range for the round, no other effect can be used to reset the range, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R2169	200242|Capuchin, The.1	If he burns, he looses all cards and counters on him, all cards and effects lose track of him and he is considered a new vampire for all game purposes (eg. {The Rack} does not target him anymore). [ANK 20200417]
R2170	200242|Capuchin, The.2	If his controller is not his original owner and he burns, he goes to his original owner ash heap, breaking all control effect, then to his owner's uncontrolled area. The Methuselah who was controlling him when he burned gets the additional transfers. [ANK 20200417]
R2171	200245|Carlotta Giovanni.1	The card being retrieved is announced when the action is declared. [LSJ 19970922]
R2172	200247|Carmine Giovanni.1	Keeps her title and votes if she changes sects. [LSJ 20010714]
R2173	200247|Carmine Giovanni.2	Her additional life ability applies and her stealth ability can be used when she is in torpor. [LSJ 20011022] [LSJ 20100902-2]
R2174	200249|Carolina Vález.1	She is immune to unlock damage from allies like {Abyssal Hunter} and {Wendell Delburton} [ANK 20210228]
R2175	200269|Chaundice.1	Can use her ability to prevent 4 damage on a single strike. [LSJ 20100708]
R2176	200288|Conrad Adoula.1	Card with multiple types (eg. Reaction/Action Modifier) are considered of the type they are played as, not both. [PIB 20150924-2]
R2177	200297|Count Zaroff.1	His ability can be used more than once each turn. [RTR 20180511]
R2178	200314|Dancin' Dana.1	[MERGED] Is Anarch. If the base version was the one in play, it changes sect as it is merged. [ANK 20180524]
R2179	200316|Danielle Diron.1	Keeps her title and votes if she changes sects. [LSJ 20010714]
